item_name,price,availability,color,type,case,range,frets,body_material,ukulele_type,fretboard_material,fingerboard_material,url
FLIGHT NUB 310,6050,В наличии,Коричневый,Без звукоснимателя,Чехол,18.9,19,Сапеле,Баритон,Палисандр,Окоуме,https://www.muztorg.ru/product/A053546#characteristics
FENDER UKULELE VENICE-NAT,5000,В наличии,Натуральный,Без звукоснимателя,,13.6,12,Ламинат,Сопрано,Ламинат,Нато,https://www.muztorg.ru/product/A072670#characteristics
FLIGHT DUC 525 CEQ SP/ZEB,9610,В наличии,Натуральный,Со звукоснимателем,Чехол,15,19,Зебрано,Концерт,Палисандр,Окоуме,https://www.muztorg.ru/product/A053544#characteristics
ENYA EUT-25D,7790,В наличии,Натуральный,Без звукоснимателя,Чехол,,18,Сапеле,Тенор,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A082501#characteristics
FENDER UKULELE RINCON V2 OVANGKOL NAT WB,16900,В наличии,Натуральный,Со звукоснимателем,Чехол,17,19,Ованкол,Тенор,Орех,Нато,https://www.muztorg.ru/product/A083565#characteristics
FLIGHT DUT 34 CEQ MAH/MAH,9180,В наличии,Натуральный,Без звукоснимателя,Чехол,17,18,Красное дерево,Тенор,Палисандр,Окоуме,https://www.muztorg.ru/product/A061442#characteristics
WIKI UK/TATTOO,2931,В наличии,Розовый,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A065154#characteristics
GRETSCH G9110 CNCRT STD UKE W/GB,13400,В наличии,Натуральный,Без звукоснимателя,Чехол,15,16,Красное дерево,Концерт,Палисандр,Красное дерево,https://www.muztorg.ru/product/A083350#characteristics
CORDOBA 20 TM-CE,18500,В наличии,Натуральный,Со звукоснимателем,,17,18,Махагони,Тенор,Палисандр,Махагони,https://www.muztorg.ru/product/A065258#characteristics
WIKI UK/HULA,2931,В наличии,Желтый,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A065153#characteristics
CORDOBA 15 CM-E Edge Burst,10700,В наличии,Санберст,Со звукоснимателем,,14.7,19,Махагони,Концерт,Палисандр,Махагони,https://www.muztorg.ru/product/A065252#characteristics
WIKI UK/RU,2931,В наличии,Рисунок,Без звукоснимателя,Чехол,13.6,12,Липа,Сопрано,,,https://www.muztorg.ru/product/A062082#characteristics
CORDOBA 20 TM,15100,В наличии,Натуральный,Без звукоснимателя,,17,18,Махагони,Тенор,Палисандр,Махагони,https://www.muztorg.ru/product/A065256#characteristics
CORDOBA 15 CM-E Edge Burst,10700,В наличии,Санберст,Со звукоснимателем,,14.7,19,Махагони,Концерт,Палисандр,Махагони,https://www.muztorg.ru/product/A065252#characteristics
WIKI UK/RU,2931,В наличии,Рисунок,Без звукоснимателя,Чехол,13.6,12,Липа,Сопрано,,,https://www.muztorg.ru/product/A062082#characteristics
CORDOBA 20 TM,15100,В наличии,Натуральный,Без звукоснимателя,,17,18,Махагони,Тенор,Палисандр,Махагони,https://www.muztorg.ru/product/A065256#characteristics
FENDER Zuma Classic Uke LPB WN,11600,В наличии,Голубой,Без звукоснимателя,,15,16,Сапеле,Концерт,Орех,Нато,https://www.muztorg.ru/product/A083280#characteristics
CORDOBA 28T TENOR UKULELE HAWAIIAN KOA,16800,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A095238
FLIGHT TUS 35 BK,2550,В наличии в другом городе,Черный,Без звукоснимателя,Чехол,13,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A073414#characteristics
FLIGHT DU-BASS MAH/MAH,17510,В наличии в другом городе,Коричневый,Со звукоснимателем,Чехол,25.6,20,Красное дерево,Бас-укулеле,Палисандр,Окоуме,https://www.muztorg.ru/product/A073016#characteristics
FLIGHT DUS 322 ZEB/ZEB,5230,В наличии в другом городе,Натуральный,Без звукоснимателя,Чехол,,12,Зебрано,Сопрано,Орех,Окоуме,https://www.muztorg.ru/product/A073621#characteristics
CORDOBA GUILELE CE,24000,В наличии в другом городе,Натуральный,Со звукоснимателем,Чехол,17,17,Махагони,Тенор,Палисандр,Махагони,https://www.muztorg.ru/product/A065283#characteristics
ENYA EUS-X1,10990,В наличии в другом городе,Коричневый,Без звукоснимателя,Чехол,13,16,Коа,Сопрано,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A076768#characteristics
CORDOBA PROTEGE UP100,7390,В наличии в другом городе,Натуральный,Без звукоснимателя,Чехол,14.7,18,Красное дерево,Концерт,Палисандр,Нато,https://www.muztorg.ru/product/A065248#characteristics
CORDOBA 24 S,12190,В наличии в другом городе,Натуральный,Без звукоснимателя,,13.8,16,Клен,Сопрано,Палисандр,Красное дерево,https://www.muztorg.ru/product/A065269#characteristics
